condition,bit_index,message_A,message_B,decoded,matches_A,matches_B
A_transcode,5,0,1,0,1,0
A_transcode,6,1,0,1,1,0
A_transcode,7,1,0,1,1,0
A_transcode,8,0,1,0,1,0
A_transcode,9,0,1,0,1,0
A_transcode,10,0,1,0,1,0
A_transcode,11,0,1,0,1,0
A_transcode,12,1,0,1,1,0
A_transcode,13,0,1,0,1,0
A_transcode,14,0,1,0,1,0
A_transcode,15,1,0,1,1,0
A_transcode,16,0,1,0,1,0
A_transcode,17,1,0,1,1,0
A_transcode,18,1,0,1,1,0
A_transcode,19,1,0,1,1,0
A_transcode,20,1,0,1,1,0
A_transcode,21,0,1,0,1,0
A_transcode,22,0,1,0,1,0
A_transcode,23,0,1,0,1,0
A_transcode,24,1,0,1,1,0
A_transcode,25,1,0,1,1,0
A_transcode,26,0,1,0,1,0
A_transcode,27,1,0,1,1,0
A_transcode,28,1,0,1,1,0
A_transcode,29,0,1,0,1,0
A_transcode,30,1,0,1,1,0
A_transcode,31,1,0,1,1,0
A_transcode,32,1,0,1,1,0
A_transcode,33,0,1,0,1,0
A_transcode,34,0,1,0,1,0
A_transcode,35,1,0,1,1,0
A_transcode,36,1,0,1,1,0
A_transcode,37,1,0,1,1,0
A_transcode,38,1,0,1,1,0
A_transcode,39,1,0,1,1,0
A_transcode,40,0,1,0,1,0
A_transcode,41,1,0,1,1,0
A_transcode,42,0,1,0,1,0
A_transcode,43,0,1,0,1,0
A_transcode,44,0,1,0,1,0
A_transcode,45,0,1,0,1,0
A_transcode,46,0,1,0,1,0
A_transcode,47,1,0,1,1,0
A_transcode,48,1,0,1,1,0
A_transcode,49,1,0,1,1,0
A_transcode,50,1,0,1,1,0
A_transcode,51,0,1,0,1,0
A_transcode,52,0,1,0,1,0
A_transcode,53,1,0,1,1,0
A_transcode,54,0,1,0,1,0
A_transcode,55,1,0,1,1,0
A_transcode,56,1,0,1,1,0
A_transcode,57,1,0,1,1,0
A_transcode,58,1,0,1,1,0
A_transcode,59,0,1,0,1,0
A_transcode,60,0,1,0,1,0
A_transcode,61,1,0,1,1,0
A_transcode,62,1,0,1,1,0
A_transcode,63,1,0,1,1,0
A_transcode,64,0,1,0,1,0
A_transcode,65,0,1,0,1,0
A_transcode,66,0,1,0,1,0
A_transcode,67,1,0,1,1,0
A_transcode,68,0,1,0,1,0
A_transcode,69,0,1,0,1,0
A_transcode,70,1,0,1,1,0
A_transcode,71,0,1,0,1,0
A_transcode,72,1,0,1,1,0
A_transcode,73,0,1,0,1,0
A_transcode,74,0,1,0,1,0
A_transcode,75,0,1,0,1,0
A_transcode,76,1,0,1,1,0
A_transcode,77,1,0,1,1,0
A_transcode,78,1,0,1,1,0
A_transcode,79,1,0,1,1,0
A_transcode,80,1,0,1,1,0
A_transcode,81,0,1,0,1,0
A_transcode,82,1,0,1,1,0
A_transcode,83,0,1,0,1,0
A_transcode,84,0,1,0,1,0
A_transcode,85,1,0,1,1,0
A_transcode,86,0,1,0,1,0
A_transcode,87,0,1,0,1,0
A_transcode,88,1,0,1,1,0
A_transcode,89,0,1,0,1,0
A_transcode,90,0,1,0,1,0
A_transcode,91,1,0,1,1,0
A_transcode,92,1,0,1,1,0
A_transcode,93,0,1,0,1,0
A_transcode,94,0,1,0,1,0
A_transcode,95,0,1,0,1,0
A_then_A,0,0,1,0,1,0
A_then_A,1,0,1,0,1,0
A_then_A,2,0,1,0,1,0
A_then_A,3,0,1,0,1,0
A_then_A,4,0,1,0,1,0
A_then_A,5,0,1,0,1,0
A_then_A,6,1,0,1,1,0
A_then_A,7,1,0,1,1,0
A_then_A,8,0,1,0,1,0
A_then_A,9,0,1,0,1,0
A_then_A,10,0,1,0,1,0
A_then_A,11,0,1,0,1,0
A_then_A,12,1,0,1,1,0
A_then_A,13,0,1,0,1,0
A_then_A,14,0,1,0,1,0
A_then_A,15,1,0,1,1,0
A_then_A,16,0,1,0,1,0
A_then_A,17,1,0,1,1,0
A_then_A,18,1,0,1,1,0
A_then_A,19,1,0,1,1,0
A_then_A,20,1,0,1,1,0
A_then_A,21,0,1,0,1,0
A_then_A,22,0,1,0,1,0
A_then_A,23,0,1,0,1,0
A_then_A,24,1,0,1,1,0
A_then_A,25,1,0,1,1,0
A_then_A,26,0,1,0,1,0
A_then_A,27,1,0,1,1,0
A_then_A,28,1,0,1,1,0
A_then_A,29,0,1,0,1,0
A_then_A,30,1,0,1,1,0
A_then_A,31,1,0,1,1,0
A_then_A,32,1,0,1,1,0
A_then_A,33,0,1,0,1,0
A_then_A,34,0,1,0,1,0
A_then_A,35,1,0,1,1,0
A_then_A,36,1,0,1,1,0
A_then_A,37,1,0,1,1,0
A_then_A,38,1,0,1,1,0
A_then_A,39,1,0,1,1,0
A_then_A,40,0,1,0,1,0
A_then_A,41,1,0,1,1,0
A_then_A,42,0,1,0,1,0
A_then_A,43,0,1,0,1,0
A_then_A,44,0,1,0,1,0
A_then_A,45,0,1,0,1,0
A_then_A,46,0,1,0,1,0
A_then_A,47,1,0,1,1,0
A_then_A,48,1,0,1,1,0
A_then_A,49,1,0,1,1,0
A_then_A,50,1,0,1,1,0
A_then_A,51,0,1,0,1,0
A_then_A,52,0,1,0,1,0
A_then_A,53,1,0,1,1,0
A_then_A,54,0,1,0,1,0
A_then_A,55,1,0,1,1,0
A_then_A,56,1,0,1,1,0
A_then_A,57,1,0,1,1,0
A_then_A,58,1,0,1,1,0
A_then_A,59,0,1,0,1,0
A_then_A,60,0,1,0,1,0
A_then_A,61,1,0,1,1,0
A_then_A,62,1,0,1,1,0
A_then_A,63,1,0,1,1,0
A_then_A,64,0,1,0,1,0
A_then_A,65,0,1,0,1,0
A_then_A,66,0,1,0,1,0
A_then_A,67,1,0,1,1,0
A_then_A,68,0,1,0,1,0
A_then_A,69,0,1,0,1,0
A_then_A,70,1,0,1,1,0
A_then_A,71,0,1,0,1,0
A_then_A,72,1,0,1,1,0
A_then_A,73,0,1,0,1,0
A_then_A,74,0,1,0,1,0
A_then_A,75,0,1,0,1,0
A_then_A,76,1,0,1,1,0
A_then_A,77,1,0,1,1,0
A_then_A,78,1,0,1,1,0
A_then_A,79,1,0,1,1,0
A_then_A,80,1,0,1,1,0
A_then_A,81,0,1,0,1,0
A_then_A,82,1,0,1,1,0
A_then_A,83,0,1,0,1,0
A_then_A,84,0,1,0,1,0
A_then_A,85,1,0,1,1,0
A_then_A,86,0,1,0,1,0
A_then_A,87,0,1,0,1,0
A_then_A,88,1,0,1,1,0
A_then_A,89,0,1,0,1,0
A_then_A,90,0,1,0,1,0
A_then_A,91,1,0,1,1,0
A_then_A,92,1,0,1,1,0
A_then_A,93,0,1,0,1,0
A_then_A,94,0,1,0,1,0
A_then_A,95,0,1,0,1,0
A_then_B,0,0,1,1,0,1
A_then_B,1,0,1,1,0,1
A_then_B,2,0,1,1,0,1
A_then_B,3,0,1,1,0,1
A_then_B,4,0,1,0,1,0
A_then_B,5,0,1,1,0,1
A_then_B,6,1,0,0,0,1
A_then_B,7,1,0,0,0,1
A_then_B,8,0,1,1,0,1
A_then_B,9,0,1,1,0,1
A_then_B,10,0,1,1,0,1
A_then_B,11,0,1,1,0,1
A_then_B,12,1,0,1,1,0
A_then_B,13,0,1,1,0,1
