step,message_pairs,prior_pairs,full_conflict_pairs,loss_total,loss_decode,loss_decode_video,loss_decode_frame,loss_hard_bits,loss_image,image_mse,normalized_image_mse,batch_PSNR_vs_input,gradient_norm_before_clip,fresh_B_mean_frame_accuracy_pct,fresh_B_mean_correct_bits,fresh_B_min_correct_bits,fresh_B_complete_pairs
51,4,4,4,1.5073105990886688,1.5073105990886688,0.15231202729046345,0.08787513617426157,1.3330297619104385,0.0,2.1058678612462245e-05,0.2105867899954319,46.76667429536427,522.8107299804688,96.8775,93.25,90,0
52,4,4,4,1.6828436255455017,1.6828436255455017,0.1773231253027916,0.10109099466353655,1.4802477657794952,0.0,2.0815670723095536e-05,0.20815670862793922,46.83057447450864,315.1078186035156,96.48499999999999,92.5,89,0
53,4,4,4,1.1293402761220932,1.1293402761220932,0.11487549170851707,0.06189656350761652,0.9989906698465347,0.0,2.0258171844034223e-05,0.2025817260146141,46.9373984692113,212.496337890625,97.19999999999999,93.5,91,1
54,4,4,4,1.3572136014699936,1.3572136014699936,0.14126064255833626,0.07702179905027151,1.1966975331306458,0.0,2.166738568121218e-05,0.2166738659143448,46.6929874534505,227.5457763671875,97.4,93.75,93,0
55,4,4,4,1.13453821092844,1.13453821092844,0.1101382402703166,0.06232989672571421,1.0088175162672997,0.0,2.162072405553772e-05,0.21620724722743034,46.659740360979434,214.95547485351562,98.375,94.75,93,2
56,4,4,4,0.9038059264421463,0.9038059264421463,0.09359635226428509,0.04559270152822137,0.7988113909959793,0.0,1.9418058855080744e-05,0.19418059289455414,47.11851971920705,261.1221618652344,99.025,95.25,94,2
57,4,4,4,1.1140642613172531,1.1140642613172531,0.1120179696008563,0.06481163436546922,0.9858433604240417,0.0,1.934925467139692e-05,0.19349255412817,47.141269976718675,343.4925537109375,97.78999999999999,94.25,93,0
58,4,4,4,1.3107725828886032,1.3107725828886032,0.12084430828690529,0.07140910252928734,1.1720759868621826,0.0,2.1761517473350978e-05,0.21761517971754074,46.634124469432216,507.4407043457031,97.1375,93.75,92,0
59,4,4,4,1.0951807796955109,1.0951807796955109,0.11614151671528816,0.061868333257734776,0.9635721743106842,0.0,2.195262368331896e-05,0.2195262424647808,46.607465004020085,270.2553405761719,97.98500000000001,95.0,94,1
60,4,4,4,1.1341879069805145,1.1341879069805145,0.125494834035635,0.06959482841193676,0.9912943989038467,0.0,2.073912901323638e-05,0.20739129558205605,46.87513652910946,298.92742919921875,97.85000000000001,94.5,93,1
61,4,4,4,1.0973677933216095,1.0973677933216095,0.11182047426700592,0.060695928521454334,0.9703733325004578,0.0,2.3460891952709062e-05,0.23460892215371132,46.30114405469183,201.05368041992188,97.52749999999999,93.75,90,0
62,4,4,4,1.5020902901887894,1.5020902901887894,0.15114334784448147,0.09122084267437458,1.3281417042016983,0.0,2.0509374280663906e-05,0.20509374886751175,46.89284458770872,240.4297332763672,97.39750000000001,93.75,89,2
63,4,4,4,1.6340779811143875,1.6340779811143875,0.1648944839835167,0.09844622202217579,1.4445718973875046,0.0,2.0898796265100827e-05,0.20898796617984772,46.821760804117865,303.8827819824219,96.94000000000001,93.0,91,1
64,4,4,4,1.3296282142400742,1.3296282142400742,0.13066286128014326,0.07847673492506146,1.1793461292982101,0.0,2.1328270577214425e-05,0.21328270807862282,46.73381377863698,281.8988342285156,97.9175,94.0,92,0
65,4,4,4,1.3472784757614136,1.3472784757614136,0.13971091248095036,0.0823736498132348,1.186974123120308,0.0,2.1587400624412112e-05,0.21587400883436203,46.66395677476587,251.94654846191406,97.26750000000001,93.5,90,1
66,4,4,4,1.490327998995781,1.490327998995781,0.134868280030787,0.0841686436906457,1.3344175964593887,0.0,2.344924678254756e-05,0.2344924807548523,46.31180259687225,376.7977294921875,97.52749999999999,94.0,92,1
67,4,4,4,1.036299228668213,1.036299228668213,0.11002816446125507,0.059780753683298826,0.9113258942961693,0.0,1.914195991048473e-05,0.1914196014404297,47.1847874852604,432.81646728515625,97.65750000000001,94.0,91,1
68,4,4,4,1.5031102001667023,1.5031102001667023,0.1477049794048071,0.09177215211093426,1.332462154328823,0.0,2.2415715648094192e-05,0.2241571620106697,46.51416721959529,326.1980895996094,97.46249999999999,93.75,90,1
69,4,4,4,1.581902414560318,1.581902414560318,0.15490822680294514,0.09398529306054115,1.4034979343414307,0.0,2.3943351607158547e-05,0.23943352699279785,46.21789413590309,273.43377685546875,97.005,93.5,91,0
70,4,4,4,1.0104147344827652,1.0104147344827652,0.10295063257217407,0.05606752191670239,0.8934471905231476,0.0,2.101181007674313e-05,0.2101181037724018,46.780271247203984,245.8992156982422,98.11250000000001,94.5,92,2
71,4,4,4,1.3642400801181793,1.3642400801181793,0.12239157501608133,0.07970700412988663,1.2219217717647552,0.0,2.2021442418918014e-05,0.22021443024277687,46.580360016451095,222.73760986328125,98.63499999999999,94.5,94,0
72,4,4,4,1.8746878653764725,1.8746878653764725,0.17645288072526455,0.11226006411015987,1.6701699495315552,0.0,2.154942785637104e-05,0.2154942825436592,46.694254486659645,566.0433349609375,97.2,93.5,91,0
73,4,4,4,1.387285828590393,1.387285828590393,0.13921085186302662,0.07564117759466171,1.2291646599769592,0.0,2.0777230929525103e-05,0.20777231454849243,46.833041327166065,267.33453369140625,96.74499999999999,93.0,90,0
74,4,4,4,1.032107636332512,1.032107636332512,0.10199504345655441,0.05860240012407303,0.9154619872570038,0.0,2.1945423668512376e-05,0.21945424750447273,46.594007255795404,265.66455078125,98.895,95.25,95,1
75,4,4,4,1.3268696516752243,1.3268696516752243,0.14092979580163956,0.07900969684123993,1.1661874949932098,0.0,2.1324250155885238e-05,0.21324250847101212,46.7274856335834,226.7346649169922,97.1375,93.5,91,1
