step,message_pairs,prior_pairs,full_conflict_pairs,loss_total,loss_decode,loss_decode_video,loss_decode_frame,loss_hard_bits,loss_image,image_mse,normalized_image_mse,batch_PSNR_vs_input,gradient_norm_before_clip,fresh_B_mean_frame_accuracy_pct,fresh_B_mean_correct_bits,fresh_B_min_correct_bits,fresh_B_complete_pairs
76,4,4,4,2.6328235268592834,2.6328235268592834,0.23865462839603424,0.162659315392375,2.3535040616989136,0.0,2.3308108666242333e-05,0.23308108747005463,46.33627369374646,485.4849853515625,94.725,90.75,90,0
77,4,4,4,0.8441433906555176,0.8441433906555176,0.08643928356468678,0.04291170556098223,0.7469761818647385,0.0,2.374722589593148e-05,0.237472265958786,46.2602606189224,205.94659423828125,99.22,95.25,94,2
78,4,4,4,0.8908827900886536,0.8908827900886536,0.08906223438680172,0.044790676794946194,0.790622889995575,0.0,2.378535646130331e-05,0.23785357177257538,46.25083408267268,301.8961181640625,98.17750000000001,94.75,94,0
79,4,4,4,1.6712889969348907,1.6712889969348907,0.16464531607925892,0.09660656657069921,1.4824920743703842,0.0,2.4619815121695865e-05,0.2461981549859047,46.10308392109701,468.0611267089844,96.2225,93.0,92,0
80,4,4,4,1.077371284365654,1.077371284365654,0.11460688523948193,0.06100573902949691,0.9475129693746567,0.0,2.299763582414016e-05,0.2299763634800911,46.38527027415849,137.8006591796875,97.85249999999999,94.0,91,0
81,4,4,4,1.0575586706399918,1.0575586706399918,0.12419327907264233,0.06141092907637358,0.9180126637220383,0.0,2.339343336643651e-05,0.23393433913588524,46.32025098384672,323.94720458984375,97.98,94.25,93,1
82,4,4,4,1.5436959713697433,1.5436959713697433,0.1533915512263775,0.08991591446101665,1.3678254634141922,0.0,2.339746015422861e-05,0.2339746057987213,46.315813663857895,256.9707336425781,96.35499999999999,93.0,91,0
83,4,4,4,1.1918798983097076,1.1918798983097076,0.11108768917620182,0.06222573947161436,1.065235786139965,0.0,2.2693398022965994e-05,0.22693398222327232,46.44328997939647,349.7461242675781,97.46000000000001,93.5,91,1
84,4,4,4,1.2420035898685455,1.2420035898685455,0.11752367112785578,0.06999806268140674,1.1069804206490517,0.0,1.9940103356930194e-05,0.19940103963017464,47.0036396337048,283.6995544433594,98.17750000000001,94.0,92,0
85,4,4,4,1.1768055260181427,1.1768055260181427,0.12536167353391647,0.06801224360242486,1.0344408079981804,0.0,2.381280683039222e-05,0.23812807723879814,46.24461996942061,275.1786804199219,97.5275,93.5,88,1
86,4,4,4,1.4882153123617172,1.4882153123617172,0.1411885991692543,0.08392958994954824,1.3260443061590195,0.0,2.1230808670225088e-05,0.21230809018015862,46.73164114847292,304.8627624511719,97.5275,93.5,91,0
87,4,4,4,1.479696050286293,1.479696050286293,0.14582913368940353,0.0871804878115654,1.3120718151330948,0.0,2.3574828446726315e-05,0.2357482872903347,46.281947549635305,396.98052978515625,97.0725,93.25,89,0
88,4,4,4,1.410494104027748,1.410494104027748,0.14027747232466936,0.08110538125038147,1.249940276145935,0.0,2.4620507701911265e-05,0.24620508030056953,46.1121467172718,268.5333251953125,97.2025,93.75,91,1
89,4,4,4,1.418020784854889,1.418020784854889,0.13543512113392353,0.07707832381129265,1.2633160650730133,0.0,2.2483158772956813e-05,0.22483159229159355,46.507743750582996,273.07586669921875,97.00750000000001,93.5,92,0
90,4,4,4,1.120767965912819,1.120767965912819,0.11887944862246513,0.06642987951636314,0.9852810651063919,0.0,2.590430403870414e-05,0.25904304906725883,45.87525918639814,275.9471435546875,97.78750000000001,94.5,92,1
91,4,4,4,1.3785138428211212,1.3785138428211212,0.12466363422572613,0.0772371543571353,1.2345409244298935,0.0,2.332749863853678e-05,0.23327499255537987,46.32336010251081,363.4042663574219,98.11500000000001,94.5,93,0
92,4,4,4,1.4139513969421387,1.4139513969421387,0.1298278607428074,0.07683255337178707,1.2649153918027878,0.0,2.2832545710116392e-05,0.22832546010613441,46.44477076569667,230.1563720703125,97.13499999999999,93.5,92,1
93,4,4,4,0.8970778435468674,0.8970778435468674,0.08931478299200535,0.0444909892976284,0.7966403290629387,0.0,2.526413300074637e-05,0.25264133512973785,45.97776730707671,214.4681396484375,98.3075,94.25,92,2
94,4,4,4,2.087085485458374,2.087085485458374,0.21613655053079128,0.1273579578846693,1.8391095101833344,0.0,2.1644733806169825e-05,0.2164473459124565,46.66435015853756,235.5616455078125,94.92249999999999,90.75,89,0
95,4,4,4,1.0013182759284973,1.0013182759284973,0.10961616039276123,0.058544726110994816,0.8770659416913986,0.0,2.3841722395445686e-05,0.23841723054647446,46.230470365645516,152.13189697265625,98.3725,94.5,92,1
96,4,4,4,0.6238926649093628,0.6238926649093628,0.06373298726975918,0.033909428399056196,0.551682323217392,0.0,2.172864697058685e-05,0.21728647500276566,46.63200160013578,288.7331848144531,98.83,95.25,95,1
97,4,4,4,0.9535620957612991,0.9535620957612991,0.09823441877961159,0.04955213749781251,0.842939630150795,0.0,2.5426323190913536e-05,0.254263237118721,45.95634581794279,177.12875366210938,98.31,95.0,95,0
98,4,4,4,0.7038810849189758,0.7038810849189758,0.07326267752796412,0.03626722004264593,0.6215516105294228,0.0,2.455525327604846e-05,0.24555253610014915,46.100571111106646,138.6714630126953,98.96000000000001,95.25,94,2
99,4,4,4,0.8668363764882088,0.8668363764882088,0.0852703982964158,0.042229875922203064,0.7710085287690163,0.0,2.4861398287612246e-05,0.24861399456858635,46.075347820503694,260.19921875,98.63499999999999,95.0,93,2
100,4,4,4,1.1949760168790817,1.1949760168790817,0.12610016390681267,0.06998850591480732,1.051378682255745,0.0,2.1207405552559067e-05,0.21207405999302864,46.76940821838396,359.57196044921875,98.05,94.25,93,0
